clip_id,frame_index,image_file,ball_visible,ball_x1,ball_y1,ball_x2,ball_y2,ball_center_x,ball_center_y,ball_visibility_quality,occlusion,is_release_pose_frame,is_ball_release_frame,label_confidence,notes
NEW_001,147,frames/NEW_001_frame_0147.jpg,yes,284,544,336,596,310,570,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,148,frames/NEW_001_frame_0148.jpg,yes,285,537,337,597,311,567,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,149,frames/NEW_001_frame_0149.jpg,yes,280,525,336,592,308,558,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,150,frames/NEW_001_frame_0150.jpg,yes,279,522,332,585,305,553,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,151,frames/NEW_001_frame_0151.jpg,yes,274,512,329,577,301,544,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,152,frames/NEW_001_frame_0152.jpg,yes,272,505,326,562,299,533,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,153,frames/NEW_001_frame_0153.jpg,yes,268,495,322,559,295,527,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,154,frames/NEW_001_frame_0154.jpg,yes,261,489,316,543,288,516,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,155,frames/NEW_001_frame_0155.jpg,yes,259,474,307,531,283,502,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,156,frames/NEW_001_frame_0156.jpg,yes,248,454,305,524,276,489,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,157,frames/NEW_001_frame_0157.jpg,yes,235,440,295,520,265,480,usable,partial,no,no,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
NEW_001,158,frames/NEW_001_frame_0158.jpg,yes,226,424,292,501,259,462,usable,partial,no,yes,high,"release_pose_frame_source=pose_trajectory_score; source_type=practice; camera_type=moving; usable_for=release_eval; initial_grade=A_candidate; portrait phone clip, below 60fps, end_of_video_fallback_for_targets=[246, 251, 281, 316, 351, 386]; decoded_frame_count=244"
